Date,price
17-Jul,1988.579524
17-Aug,1988.556957
17-Sep,1998.297619
17-Oct,2097.054545
17-Nov,2127.900909
17-Dec,1917.6835
18-Jan,1951.968182
18-Feb,2122.799
18-Mar,2503.950952
18-Apr,2624.735714
18-May,2659.936818
18-Jun,2410.759524
18-Jul,2357.047273
18-Aug,2171.61
18-Sep,2195.088
18-Oct,2134.200435
18-Nov,2185.036364
18-Dec,2208.406
19-Jan,2263.335909
19-Feb,2255.803
19-Mar,2200.485714
19-Apr,2331.131429
19-May,2315.076364
19-Jun,2407.73
19-Jul,2416.53087
19-Aug,2194.697273
19-Sep,2304.40381
19-Oct,2435.271739
19-Nov,2519.663333
19-Dec,2444.70619
20-Jan,2603.073182
20-Feb,2716.2105
20-Mar,2338.471818
20-Apr,2270.241429
20-May,2315.988
20-Jun,2228.356818
20-Jul,2101.742609
20-Aug,2348.675714
20-Sep,2457.895909
20-Oct,2292.055909
20-Nov,2358.185238
20-Dec,2407.201364
21-Jan,2391.4065
21-Feb,2405.4415
21-Mar,2462.466522
21-Apr,2368.332857
21-May,2412.863
21-Jun,2366.233636
21-Jul,2327.1
21-Aug,2484.311818
21-Sep,2558.093182
21-Oct,2567.569048
21-Nov,2393.325909
21-Dec,2384.974091
22-Jan,2467.355238
22-Feb,2550.945
22-Mar,2461.38
22-Apr,2455.349
22-May,2366.616818
22-Jun,2321.780909
22-Jul,2239.582857
22-Aug,2270.565652
22-Sep,2226.054545
22-Oct,2245.005238
22-Nov,2382.319545
22-Dec,2455.797619
23-Jan,2540.991429
23-Feb,2587.361
23-Mar,2669.126957
23-Apr,2823.433684
23-May,2904.318636
23-Jun,3124.218636
23-Jul,3348.393333
23-Aug,3444.08
23-Sep,3625.335714
23-Oct,3691.612273
23-Nov,4096.158182
23-Dec,4253.875556
24-Jan,4947.7188
24-Feb,5640.088095
24-Mar,7435.426
24-Apr,9876.579545
24-May,7763.369545
24-Jun,8380.1235
24-Jul,7164.618696
24-Aug,6791.954545
24-Sep,6421.822381
24-Oct,6582.857391
24-Nov,7930.125238
24-Dec,10353.04714
25-Jan,10709.30545
25-Feb,9827.304211
